Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,18
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,10
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,13
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,under 18 years old,3
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,4
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,18 years old and over,6
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,1
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,18 years old and over,5
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,36
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,28
2016,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,,,23
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,22
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,,20
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2006,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2007,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2009,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2010,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2011,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2012,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,0
2014,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,14
2015,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Male,,8
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,under 18 years old,0
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,under 18 years old,0
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,18 years old and over,0
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,18 years old and over,0
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Female,,0
2005,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2006,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2007,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2008,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2009,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2010,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2011,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2012,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2014,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2015,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2016,Detected victims of human trafficking for removal of organ (number) [16.2.2],Number,Male,,0
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,under 18 years old,6
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,under 18 years old,0
2015,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,under 18 years old,0
2016,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,under 18 years old,0
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,18 years old and over,4
2015,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,18 years old and over,6
2016,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,18 years old and over,7
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,18 years old and over,0
2015,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,18 years old and over,0
2016,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,18 years old and over,0
2010,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,7
2011,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,17
2012,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,20
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,10
2015,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,6
2016,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Female,,7
2010,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,1
2011,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,1
2012,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,0
2014,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,0
2015,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,0
2016,Detected victims of human trafficking for sexual exploitaton (number) [16.2.2],Number,Male,,0
2005,Detected victims of human trafficking (number) [16.2.2],Number,,,66
2006,Detected victims of human trafficking (number) [16.2.2],Number,,,71
2007,Detected victims of human trafficking (number) [16.2.2],Number,,,41
2008,Detected victims of human trafficking (number) [16.2.2],Number,,,33
2009,Detected victims of human trafficking (number) [16.2.2],Number,,,69
2010,Detected victims of human trafficking (number) [16.2.2],Number,,,25
2011,Detected victims of human trafficking (number) [16.2.2],Number,,,35
2012,Detected victims of human trafficking (number) [16.2.2],Number,,,39
2014,Detected victims of human trafficking (number) [16.2.2],Number,,,49
2015,Detected victims of human trafficking (number) [16.2.2],Number,,,35
2016,Detected victims of human trafficking (number) [16.2.2],Number,,,48
