Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Degree of urbanisation,Value
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Male,,96.77750999999999
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Male,,95.47208
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Male,,99.85685
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Male,,98.9
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Male,,99.28
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Male,,99.58797
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Male,,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Male,,100.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Male,,51.1
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Male,,51.48
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Male,,92.69718
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Male,,83.83551
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Male,,95.72816
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Rural,96.61
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Rural,98.67
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Rural,96.3604
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),,Rural,92.15459
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,,Rural,97.44476
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Rural,99.12
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Rural,99.77
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Rural,99.66145999999999
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,,Rural,99.81214
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,,Rural,100.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Rural,42.19
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Rural,44.24
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Rural,90.89954
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),,Rural,81.36999
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,,Rural,97.60803
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Female,Rural,96.55474
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Female,Rural,90.75005
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Female,Rural,94.89287
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Female,Rural,99.91665
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Female,Rural,99.6634
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Female,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Female,Rural,91.40295
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Female,Rural,78.99797
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Female,Rural,98.81908
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Male,Rural,96.19608000000001
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Male,Rural,94.23948
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Male,Rural,99.41744
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Male,Rural,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Male,Rural,90.47118
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Male,Rural,82.45838
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Male,Rural,96.20177
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Urban,98.88
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Urban,98.83
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,Urban,97.89363
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,,Urban,99.81715
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Urban,99.48
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Urban,97.97
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,Urban,99.91445
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,,Urban,100.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Urban,69.47
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Urban,72.78
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,Urban,96.939
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,,Urban,96.79177
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Female,Urban,97.72261999999999
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Female,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Female,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Female,Urban,99.83771
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Female,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Female,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Female,Urban,97.21921999999999
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Female,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Female,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Male,Urban,98.03853000000001
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Male,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Male,Urban,99.67559
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Male,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Male,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Male,Urban,100.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Male,Urban,96.69978
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Male,Urban,0.0
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Male,Urban,0.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,,97.48
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,,98.73
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,,,96.84455
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),,,95.59
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),,,90.81704
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,,,99.46
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,,,98.42177
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,,99.25
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,,99.2
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,,,99.73966
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,,,99.52
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,,,99.66748
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,,,99.64
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,,,100.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,,51.97
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,,51.97
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,,,93.06007
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),,,31.59
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),,,83.20097
