Year,Value,UNIT_MEASURE,SERIES
2011,5.249319,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2012,5.696619,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2013,6.095235,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2014,6.477504,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2015,6.817022,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2016,7.094094,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2017,7.354027,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2018,7.558136,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2019,7.79358,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2014,1108.73,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2015,1157.02,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2016,1197.58,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2017,1237.93,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2018,1271.2,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2019,1310.05,Metric Tons,"Electronic waste recycling (Tonnes) [12.4.2,12.5.1]"
2014,0.318407021497909,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2015,0.337387641782932,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2016,0.353658566094836,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2017,0.36936262469663106,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2018,0.382439398976331,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2019,0.39686557974285297,Kilograms,"Electronic waste recycling, per capita (Kg) [12.4.2,12.5.1]"
2014,4.799937,Percent,"Electronic waste recycling, rate (%) [12.4.2,12.5.1]"
2008,10588.0,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2009,9632.0,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2010,10320.0,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2012,945923.0,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2014,8408.0,Metric Tons,Hazardous waste generated (Tonnes) [12.4.2]
2008,2.813265,Kilograms,"Hazardous waste generated, per capita (Kg) [12.4.2]"
2009,2.570891,Kilograms,"Hazardous waste generated, per capita (Kg) [12.4.2]"
2010,2.77264,Kilograms,"Hazardous waste generated, per capita (Kg) [12.4.2]"
2012,259.284853,Kilograms,"Hazardous waste generated, per capita (Kg) [12.4.2]"
2014,2.414631,Kilograms,"Hazardous waste generated, per capita (Kg) [12.4.2]"
2008,0.000682840355,Kilograms per constant USD,"Hazardous waste generated, per unit of GDP [12.4.2]"
2010,0.00068021727,Kilograms per constant USD,"Hazardous waste generated, per unit of GDP [12.4.2]"
2012,0.06227224396599999,Kilograms per constant USD,"Hazardous waste generated, per unit of GDP [12.4.2]"
2014,0.000534657159,Kilograms per constant USD,"Hazardous waste generated, per unit of GDP [12.4.2]"
